127.0.0.1 - - [27/Jul/2022:09:06:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:06:02 +0900] "GET /jsp/loginForm.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:06:08 +0900] "GET /jsp/loginServer.jsp?id=maple&pw=123456 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:06:08 +0900] "GET /jsp/main.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:06:12 +0900] "GET /jsp/board.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:06:17 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:07:04 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:07:07 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:07:08 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:09:28 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:09:40 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:09:42 +0900] "GET /jsp/Board_List.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:09:44 +0900] "GET /jsp/board_action.jsp?title=&content= HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [27/Jul/2022:09:09:46 +0900] "GET /jsp/Board_List.jsp HTTP/1.1" 200 824
